date,type,registration,operator,fat.,location,,pic,cat,
30021,DHC-6 Twin Otter 300,LN-BNK,Widerøes Flyveselskap,15,near Gamvik,,,A1,Norway
30023,Boeing KC-135A,57-1489,USAF,4,near Phoenix-Luke...,,,A1,USA
30025,Antonov An-26,53,Soviet Navy,9,near Anapa Airpor...,,,A1,Russia
30027,Airbus A300B4-203,F-BVGK,Air France,0,Sana'a Inter...,,,A1,Yemen
30027,BN-2A-21 Islander,3003,Philippine AF,,,,,U1,Unknown country
30029,Boeing KC-135A,58-0031,USAF,27,"Greenwood, IL",,,A1,USA
30030,Fokker F-28 Fellowship 1000,PK-GVK,Garuda,27,Bandar Lampu...,,,A1,Indonesia
30031,Lockheed L-188AF Electra,N5504,Zantop,0,Macon-Lewis ...,,,O1,USA
30031,Lockheed L-188AF Electra,N5516,Zantop,0,Macon-Lewis ...,,,O1,USA
30036,Dornier 228-100,D-IFNS,Dornier,3,near Igenhausen,,,A1,Germany
30036,Vickers 745D Viscount,HK-2382,Aeropesca Colombia,21,near Quétame,,,A1,Colombia
??-MAR-1982,Douglas C-117D (DC-3),N117RR,Foreman Flying Service,,unknown,,,U1,Unknown country
30046,Boeing 727,,Delta Air Lines,0,Havana-José ...,,,H2,Cuba
30052,Lockheed L-100-20 Hercules,C-FPWK,Northwest Territorial Airways,0,Paulatuk Air...,,,O1,Canada
30052,Antonov An-2T,CCCP-62489,"Aeroflot, Yakutsk",,,,,A1,Russia
30054,Lockheed C-130H Hercules,74-1678,USAF,27,near Gevenlik,,,A1,Turkey
30055,Swearingen SA226-TC Metro II,ZS-KYA,Magnum Airlines,0,,,,A1,South Africa
30058,A.W. AW-650 Argosy 102,G-APRN,Air Bridge Carriers,0,Belfast Inte...,,,A1,U.K.
30063,Antonov An-24V,YI-AEO,Iraqi Airways,,,,,A1,Iraq
30065,Antonov An-12B,CCCP-11107,"Aeroflot, International",0,Novyj Urengo...,,,A1,Russia
30067,Hawker Siddeley HS-121 Trident 2E,B-266,CAAC,112,near Yangsuo,,,A1,China
30069,DHC-7-102,HR-AND,ANHSA,0,Havana-José ...,,,H2,Cuba
30070,Lockheed C-130H Hercules,HC-BEF/FAE74,Ecuador Air Force,7,near Quito-Marisc...,,,A1,Ecuador
30071,Antonov An-24V,SP-LTG,LOT,0,Berlin-Tempe...,,,H2,Germany
30072,Douglas DC-7B,N823D,Kinney Air Tankers,,Glendive-Daw...,,,O1,USA
30072,BN-2A-27 Islander,VP-FAY,FIGAS,0,Port Stanley...,,,C1,Falkland Isl.
30074,Gulfstream American G-1159 Gulfstre,7T-VHB,Algerian Government,14,Qotur,,,C1,Iran
30074,Shorts SC.7 Skyvan 3M-400,PA-54,Argentine Coast Guard,0,Port Stanley...,,,O1,Falkland Isl.
30074,Shorts SC.7 Skyvan 3M-400,PA-50,Argentine Coast Guard,0,Port Stanley...,,,O1,Falkland Isl.
30076,Convair CV-440,CP-1725,T.A. Unidos,0,La Paz-El Al...,,,A1,Bolivia
30077,Learjet 23,N100TA,IBEX Corp.,4,"near Savannah, GA...",,,A1,USA
30078,Douglas C-47A (DC-3),C-FQHF,Kenn Borek Air,0,Calgary Inte...,,,A1,Canada
30078,Antonov An-2,CCCP-02183,"Aeroflot, West Siberia",5,near Tashtagol,,,A1,Russia
30080,DHC-7-103,7O-ACK,Alyemda,23,near Aden Interna...,,,A1,Yemen
30081,Curtiss C-46F,YN-BRG,Aeronica,0,Puerto Limón...,,,H2,Costa Rica
30082,Antonov An-2R,CCCP-07399,"Aeroflot, Ukraine",0,Sputendorf,,,A1,Germany
30082,Antonov An-2TP,HA-ANL,Hungarian Defense Association,9,Hármashatárhegy,,,A1,Hungary
30083,Lockheed C-130E Hercules,64-0543,USAF,7,"Judsonia, AR",,,A1,USA
30083,Douglas DC-3 Hiper,HK-140,Transamazonica Colombia,0,Miraflores,,,A2,Colombia
30083,Antonov An-24T,11,Soviet AF,5,near Petrovsk Air...,,,A1,Russia
30086,Martin 4-0-4,N40445,private,0,"Madera, CA",,,A1,USA
30086,DHC-6 Twin Otter 300,C-GKBO,"Kenn Borek Air, op.for Panarctic Oils",0,North Pole,,,A1,Arctic Ocean
30087,DHC-6 Twin Otter 200,N103AQ,"Kodiak Aviation, op.for Wien Air Alaska",0,"Hooper Bay, AK",,,A1,USA
30087,Learjet 25B,PT-KZY,TAM,0,Uberaba Airp...,,,A1,Brazil
30089,Douglas DC-3C,HK-1503,Taxi Aéreo del Guaviare,0,Villavicenci...,,,H2,Colombia
30090,Cessna 551 Citation II/SP,D-IJHM,Hurler Flugdienst,8,near Kassel-Calde...,,,A1,Germany
30092,BAC One-Eleven,,Philippine Air Lines,0,Cebu Airport...,,,H2,Philippines
30093,Learjet 23,N808JA,Jet America Int.,0,Sarasota-Bra...,,,O1,USA
30093,Embraer EMB-110P Bandeirante,PT-GKC,Rio Sul,0,near Florianópoli...,,,A1,Brazil
30096,Boeing 737-2A1,PP-SMY,VASP,2,Brasilia Int...,,,A1,Brazil
30098,Boeing 727-2B6,,RAM,0,Tunis-Cartha...,,,H2,Tunisia
30100,Morane Saulnier MS.760 Paris I,96,French AF,,Biarritz (BIQ),,,A1,France
30100,Embraer EMB-110P1 Bandeirante,HK-2743,TAVINA,0,near Barranquilla...,,,A1,Colombia
30102,Yakovlev Yak-40,CCCP-87485,"Aeroflot, North Kavkaz",0,Dnepropetrov...,,,A1,Ukraine
30103,Lockheed C-130H Hercules,TC-63,Argentine AF,7,near Pebble Island,,,C1,Falkland Isl.
30103,Fairchild C-123J Provider,56-4391,South Korea AF,53,near Seoul-Seongn...,,,A1,South Korea
30104,DC-9-32,C-FTLY,Air Canada,0,Montreal-Dor...,,,O1,Canada
30104,IAI Arava 201,FAC-951,Colombian AF,0,Rondon Airpo...,,,A1,Colombia
30105,Antonov An-2R,CCCP-40736,"Aeroflot, Far East",0,Polevoye,,,A1,Russia
30106,Antonov An-2R,SP-WCF,WSK Okecie,,Zegrze Pomor...,,,U1,Poland
30106,Antonov An-2R,CCCP-62640,"Aeroflot, Lithuania",0,"Dvoinovski, ...",,,A1,Russia
30108,Douglas C-47A (DC-3),N95C,Fromhagen Aviation,0,St. Petersbu...,,,A1,USA
30109,Learjet 35A,T-24,Argentine AF,5,near Pebble Islan...,,,C1,Falkland Isl.
30110,Boeing 727-212,PP-SRK,VASP,137,Sierra de Pa...,,,A1,Brazil
30111,Fokker F-27 Friendship 600,VH-TQQ,TAA,0,RAAF Amberle...,,,A1,Australia
30111,unknown,,LOT,0,Warszawa-Oke...,,,H2,Poland
30113,Antonov An-2R,CCCP-56431,"Aeroflot, North Kavkaz",0,Krasnoarmeis...,,,A1,Russia
30114,Boeing 720-023B,OD-AFP,MEA,0,Beirut Inter...,,,C1,Lebanon
30114,Fairchild FH-227B,PT-LBV,TABA,44,Tabatinga In...,,,A1,Brazil
30118,Boeing 720-023B,OD-AFU,MEA,0,Beirut Inter...,,,C1,Lebanon
30118,Boeing 720-023B,OD-AFW,MEA,0,Beirut Inter...,,,C1,Lebanon
30118,Boeing 720-047B,OD-AGR,MEA,0,Beirut Inter...,,,C1,Lebanon
30118,Boeing 707-323C,OD-AGN,TMA,0,Beirut Inter...,,,C1,Lebanon
30118,Boeing 707-3B4C,OD-AFB,MEA,0,Beirut Inter...,,,C1,Lebanon
30119,Tupolev Tu-134IK,CCCP-65687,Ministry of Radio Equipment Production,15,near Severomorsk-...,,,A1,Russia
30124,Boeing 707-437,VT-DJJ,Air-India,17,Bombay-Santa...,,,A1,India
30125,DHC-7-102,,Henson Airlines,0,Staunton-She...,,,H2,USA
30126,Boeing 747-236B,G-BDXH,British Airways,0,near Jakarta,,,A2,Indonesia
30127,DC-8-62,LN-MOW,SAS,0,København-Ka...,,,A2,Denmark
30130,Yakovlev Yak-42,CCCP-42529,"Aeroflot, Leningrad",132,"near Verbovichi, ...",,,A1,Belarus
30131,Fairchild F-27A,C-FTPA,Norcanair,0,Wollaston La...,,,A1,Canada
30132,Boeing 747-243B,,Alitalia,0,Bangkok-Don ...,,,H2,Thailand
30138,Ilyushin Il-62M,CCCP-86513,"Aeroflot, International",90,near Moskva-Shere...,,,A1,Russia
30138,BN-2A-8 Islander,9M-MDD,MAS,,Long Semado-...,,,A1,Malaysia
30141,Boeing 727-235,N4737,Pan Am,145+ 8,near New Orleans ...,,,A1,USA
30142,Alenia G-222TCM,MM62106,Italian AF,4,Greve in Chi...,,,A1,Italy
30143,Hawker Siddeley HS-748,RP-C1014,Philippine Air Lines,1,Jolo Airport...,,,A1,Philippines
30146,Swearingen SA226-AT Merlin IV,ZS-JLZ,"South African AF, lsf South African Police",8,near Waterkloof A...,,,A1,South Africa
30148,Antonov An-2T,CCCP-15970,"Aeroflot, Yakutsk",0,near Lake Bolshoy...,,,A1,Russia
30154,Martin 4-0-4,,Marco Island Airways,0,Havana-José ...,,,H2,Cuba
30157,Ilyushin Il-18,,CAAC,0,near Shanghai,,,H2,China
30162,Douglas C-47D (DC-3),N102BL,Pronto Aviation Services,0,near El Paso Inte...,,,A1,USA
30162,Lockheed HC-130H Hercules,1600,US Coast Guard,2,near Attu Island-...,,,A1,USA
30164,Boeing 720-047B,OD-AGG,MEA,0,Beirut Inter...,,,C1,Lebanon
30167,Boeing 727-21,HK-2559,Aerotal Colombia,0,Santa Marta-...,,,A1,Colombia
30167,Boeing 737-200,,Indian Airlines,0,Amritsar-Raj...,,,H2,India
30174,Boeing 747-121,N754PA,Pan Am,1,near Hawaii,,,C2,Pacific Ocean
30175,DHC-6 Twin Otter 300,XY-AEB,Burma Airways,8,Mindat,,,A1,Myanmar
30177,Let L-410M,CCCP-67191,"Aeroflot, Georgia",11,Sukhumi-Babu...,,,A1,Georgia
30177,Tupolev Tu-134A,CCCP-65836,"Aeroflot, Georgia",0,Sukhumi-Babu...,,,A1,Georgia
30177,Yakovlev Yak-40,CCCP-98102,MAP Kazan MSZ,4,near Bazarnyye Ma...,,,A1,Russia
30177,IAI Arava 201,223,Sandinist AF,20,Managua-Augu...,,,A1,Nicaragua
30179,Embraer EMB-110P1 Bandeirante,,Dolphin Airways,0,West Palm Be...,,,H2,USA
30182,Antonov An-2R,CCCP-70446,"Aeroflot, Leningrad",0,"near Dno, Pskov r...",,,A1,Russia
30183,Boeing 737-200,,Indian Airlines,1,Amritsar Air...,,,H2,India
30183,BN-2A Islander,VP-LAE,Inter Island Air Services,6,La Soufriere...,,,A1,St. Vincent
30183,Swearingen SA226-TC Metro II,N237AM,Air Midwest,0,Kansas City ...,,,A2,USA
30185,Douglas C-47A (DC-3),ET-AHP,Ethiopian Airlines,0,Makale Airpo...,,,A1,Ethiopia
30187,Antonov An-12BP,,Soviet AF,1,near Chita,,,A1,Russia
30188,Convair CV-440,N477KW,"National Flight Services, op.for Air Resorts Airlines",0,near Wolf Creek P...,,,A1,USA
30188,Ilyushin Il-18E,SP-LSI,LOT,0,München-Riem...,,,H2,Germany
30188,Antonov An-2R,OK-JIK,Slov-Air,,Smedava,,,A1,Czech Rep.
30189,Boeing 737-2Q3,JA8444,Southwest Air Lines,0,Ishigaki Air...,,,A1,Japan
30190,Antonov An-2R,OK-KIM,Slov-Air,0,Strachotice,,,H1,Czech Rep.
30191,Antonov An-24TV,YI-ALN,Iraqi Airways,,Nasiriyah Ai...,,,A1,Iraq
30194,Lockheed C-141B Starlifter,64-0652,USAF,9,"near Knoxville, TN",,,A1,USA
30195,DHC-4A Caribou,HC-BHZ,Aerolineas Condor,44,near Valladolid,,,A1,Ecuador
30197,Learjet 25B,PT-JBQ,Companhia Brasileira de Tratores,10,near Rio Branco A...,,,A1,Brazil
30199,Douglas DC-8-51,RP-C830,Intercontinental Airlines,0,London-Stans...,,,A2,U.K.
30203,Antonov An-2R,CCCP-62663,"Aeroflot, Ukraine",0,Khorezm region,,,A1,Uzbekistan
30203,Fairchild FH-227E,N7801M,Autec,0,near Andros Town ...,,,A2,Bahamas
30203,Antonov An-2R,CCCP-70563,"Aeroflot, Azerbaijan",0,near Imishli,,,A1,Azerbaijan
30204,Boeing 707-348C,ST-AIM,Sudan Airways,0,near Khartoum,,,A1,Sudan
30207,DC-10-30CF,EC-DEG,Spantax,50,Málaga Airpo...,,,A1,Spain
30211,DC-8-61,JA8048,JAL,0,Shanghai-Hon...,,,A1,China
30211,Beech 200 Super King Air,N9FQ,Private,0,Huntington B...,,,A2,USA
30212,DHC-3 Otter,C-FDJA,Central Mountain Air Services,5,near Two Bridge L...,,,A1,Canada
30212,Beech B200C Super King Air,OY-BEP,Jetair,3,near Luxembourg-F...,,,A1,Luxembourg
30214,Swearingen SA226-AT Merlin IV,L6-2/21,Thai AF,0,Hat Yai Airp...,,,A1,Thailand
30218,DHC-4A Caribou,M21-17,Royal Malaysian AF,7,near Kampung Atap,,,A1,Malaysia
30219,Boeing 727-243,,Alitalia,0,Catania-Font...,,,H2,Italy
30222,Antonov An-2R,CCCP-44628,"Aeroflot, Kazakstan",0,Chimkent region,,,A1,Kazakhstan
30223,Ilyushin Il-62M,CCCP-86470,"Aeroflot, International",7,Luxembourg-F...,,,A1,Luxembourg
30229,Fokker F-27 Friendship 200,ST-AAS,Sudan Airways,0,Merowe Airpo...,,,A1,Sudan
30232,Vickers 828 Viscount,HC-ATV,SAN,0,Cuenca Airpo...,,,A1,Ecuador
30236,Douglas C-47A (DC-3),ZS-EJK,Comair,0,near Graskop,,,A1,South Africa
30238,Tupolev Tu-134,,Balkan Bulgarian,0,Wien-Schwech...,,,H2,Austria
30240,Lockheed C-130B Hercules,FAC-1003,Colombian AF,5,"near Cape May, NJ...",,,A1,Atlantic Ocean
30241,Boeing 707-366C,SU-APE,EgyptAir,0,Genève-Coint...,,,A1,Switzerland
30242,Lockheed 18 Learstar I,N1040G,Vintage Sales Corp.,3,"Kosciusko, MS",,,A1,USA
30251,Lockheed L-1011 TriStar,,TWA,0,Los Angeles ...,,,H2,USA
30255,Curtiss C-46 Super C,C-GIXZ,Ilford Riverton,0,Shamattawa A...,,,A1,Canada
30256,BN-2A Trislander Mk.III-1,HP-947,Aviones de Panama,,,,,U1,Panama
30258,BN-2A-21 Islander,EP-PBE,Pars Air,1,,,,A1,Iran
30259,Embraer EMB-110P2 Bandeirante,P2-RDL,Talair,0,Port Moresby...,,,A1,P.N. Guinea
30261,Learjet 24D,N13MJ,Duncan Aviation,0,Elizabeth Ci...,,,A2,USA
30261,BN-2A Islander,CS-AJO,Penina,0,Serra de Mon...,,,A1,Portugal
30261,Learjet 25,N47MJ,Duncan Aviation,0,Elizabeth Ci...,,,A2,USA
30262,Antonov An-24B,CCCP-47786,"Aeroflot, North Kavkaz",0,Sinop Airpor...,,,H2,Turkey
30263,CASA/Nurtanio NC-212 Aviocar,PK-DCR,Deraya Air Taxi,,near Bontang,,,A1,Indonesia
30267,Swearingen SA226-AT Merlin IV,OY-AUI,Danair,0,København-Ka...,,,A1,Denmark
30267,Cessna 501 Citation I/SP,N2627U,Cessna Aircraft,0,"Wichita, KS",,,A1,USA
30271,Embraer C-95 Bandeirante (EMB-110),2182,Brazilian AF,3,near Rio de Janei...,,,A1,Brazil
30271,Lockheed CC-130H Hercules,130329,Canadian Armed Forces,7,Edmonton-Nam...,,,A1,Canada
30273,Cessna 551 Citation II/SP,N2CA,Coin Acceptors,3,near Mountain Vie...,,,A1,USA
30273,Antonov An-2R,CCCP-54883,"Aeroflot, Ukraine",0,Dnepropetrov...,,,A1,Ukraine
30277,Antonov An-24V,SP-LTK,LOT,0,Berlin-Tempe...,,,H2,Germany
30282,Tupolev Tu-154B-2,HA-LCA,Malev,0,Warszawa-Oke...,,,H2,Poland
30284,Boeing 727-21,HK-2560,Aerotal Colombia,0,Santa Marta-...,,,A1,Colombia
30284,Antonov An-26,D2-TAB,TAAG,15,Monte Bibala,,,A1,Angola
30284,DHC-6 Twin Otter 310,HK-2536,ACES,22,near Quetame,,,A1,Colombia
??-NOV-1982,Douglas DC-3C,PK-OBJ,Airfast Indonesia,,Pontianak,,,U1,Indonesia
30286,BN-2 Islander,,Flight Centre Victoria,0,Abbotsford A...,,,H2,Canada
30289,Boeing 707-323B,N8434,Global Int. Airways,0,Brasilia Int...,,,A1,Brazil
30290,Douglas C-53-DO (DC-3),N163E,private,0,Burbank/Glen...,,,A1,USA
30291,Learjet 35A,HB-VFO,Transair SA,0,Paris-Le Bou...,,,A1,France
30292,Swearingen SA227-AC Metro III,N30093,Pioneer Airlines,2,near Pueblo Memor...,,,A1,USA
30294,Fairchild F-27A,CC-CJE,Aeronor Chile,46,La Serena-La...,,,A1,Chile
30295,Hawker Siddeley HS-748,PK-IHI,Bouraq Indonesia,0,Manado Airpo...,,,A1,Indonesia
30297,Douglas C-47A (DC-3),HK-2580,TALA,4+ 1,near Mariquita Ai...,,,A1,Colombia
30301,Antonov An-24B,CCCP-46567,"Aeroflot, Central Region",0,"Sakhanskoye,...",,,A1,Ukraine
30308,Antonov An-26,CCCP-26627,"Aeroflot, Turkmenistan",16,near Rostov Airpo...,,,A1,Russia
30309,Ilyushin Il-18B,B-202,CAAC,25,Guangzhou-Ba...,,,A1,China
30313,Dornier Do 128-6 Turbo Skyservant,9Q-COT,SOMINKI,,,,,U1,D.R. Congo
30315,Boeing 727,,United Airlines,0,Pittsburgh I...,,,H2,USA
??-???-1982,Douglas C-54Q (DC-4),N111AV,Florida Aircraft Leasing,,Great Abaco,,,U1,Bahamas
??-???-1982,DHC-6 Twin Otter 300,5A-DCW,Libyan Ministry of Agriculture,0,,,,A1,Libya
??-???-1982,Douglas C-47B (DC-3),RP-C3,Bangko Sentral Ng Pilipinas,,Manila,,,U1,Philippines
30319,Canadair Challenger 600,N805C,A.E. Stanley Manufacturing Co.,2,near Hailey-Sun V...,,,A1,USA
30323,Boeing 727,,Delta Air Lines,0,Boston-Logan...,,,H2,USA
30323,Boeing 727-86,EP-IRA,Iran Air,0,Tehran-Mehra...,,,A1,Iran
30325,Convair CV-580-11-A,N8444H,Republic Airlines,1,Brainerd-Cro...,,,A2,USA
30327,Lockheed 18 Lodestar,N520R,private,0,"Madison, GA",,,A1,USA
30327,DC-8-54F,N8053U,United Airlines,3,Detroit-Metr...,,,A1,USA
30327,Rockwell Sabreliner 65,N99S,Sun Oil Co,5,near Toronto Inte...,,,A1,Canada
30328,Lockheed L-1049G Super Constellatio,IN-316,Indian Navy,0,Mumbai (Bombay),,,A1,India
30328,BN-2A-21 Islander,,Indian AF,0,near Alleypey,,,A1,India
30332,Douglas DC-3C,TG-SAB,Unknown,0,"near Bay City, TX",,,A1,USA
30332,Boeing 727-2F2,TC-JBR,THY,47,Ankara-Esenb...,,,A1,Turkey
30332,Lockheed L-1329-25 JetStar II,5A-DAR,Libyan Government,2,near Tripoli,,,A1,Libya
30334,Shorts 330-200,HS-TS.,Thai Airways,0,Chiang Mai I...,,,H2,Thailand
30336,Boeing 727,,Northwest Orient Airlines,1,Portland Int...,,,H2,USA
30336,Boeing 707-300,,Alyemda,0,Djibouti Air...,,,H2,Djibouti
30343,Dornier Do 128-6MPA Turbo Skyservan,TJX-BO,Cameroon AF,,Douala Air Base,,,U1,Cameroon
30344,DHC-6 Twin Otter 200,T-83,LADE,0,Río Gallegos...,,,A2,Argentina
30344,Boeing 747-237B,VT-EFO,Air-India,0,Delhi-Palam ...,,,A2,India
30344,Airbus A300B2-101,VT-EFV,Indian Airlines,0,Delhi-Palam ...,,,A2,India
30350,Antonov An-26,14-28,Cuban AF,,Playa Baraco...,,,A1,Cuba
30353,Cessna 550 Citation II,N222WL,Weatherford Services.,0,Houston-Will...,,,A1,USA
30354,Antonov An-2TP,CCCP-32320,"Aeroflot, North Kavkaz",0,Preobrazhens...,,,A1,Russia
30360,Learjet 35A,N482U,Upali Air,6,near Kuala Selang...,,,A1,Malaysia
30360,Lockheed C-130H Hercules,74-1693,USAF,6,Fayetteville...,,,A1,USA
30360,Airbus A300B4-203,,TAA,0,"Melbourne, VIC",,,H2,Australia
30362,DHC-7-102,,Rio Airways,0,Nuevo Laredo...,,,H2,Mexico
30362,Douglas DC-3,C-FBKX,Ontario Central Airlines,0,"Shamathawa, MB",,,A1,Canada
30362,DHC-6 Twin Otter 300,N361V,Sierra Pacific Airlines,0,near Hailey-Sun V...,,,A1,USA
30362,Antonov An-12,,Soviet AF,5,Jalalabad Ai...,,,C1,Afghanistan
30364,BN-2A-21 Islander,LN-MAF,Norving,,Båtsfjord Ai...,,,U1,Norway
30365,Tupolev Tu-134A,,CSA,1,Praha-Ruzyne...,,,H2,Czech Rep.
30367,Boeing 727-2L5,5A-DII,Libyan Arab Airlines,0,Malta-Luqa A...,,,H2,Malta
30368,Douglas C-47 (DC-3),FAC-651,Colombian AF,4,near Salento,,,A1,Colombia
30369,Boeing 737-2A1C,PP-SNC,VASP,2,Manaus-Eduar...,,,A1,Brazil
30370,Antonov An-2R,CCCP-84571,"Aeroflot, Ukraine",0,Cherkasy region,,,A1,Ukraine
30371,DHC-6 Twin Otter 300,TY-BBL,Air Benin,0,Koko,,,A1,Benin
30374,Boeing 727-276,VH-TBI,TAA,0,Adelaide Air...,,,A2,Australia
30374,Hawker Siddeley HS-121 Trident 2E,B-260,CAAC,0,Fuzhou Yixu ...,,,A1,China
30382,Antonov An-24V,LZ-AND,Balkan Bulgarian,1,Varna Airpor...,,,H2,Bulgaria
30385,DHC-6 Twin Otter 300,YA-GAZ,Bakhtar Afghan,19,near Shashgow Ghazni,,,A1,Afghanistan
30386,NAMC YS-11A-208,JA8693,Nihon Kinkyori Airways,0,Nakashibetsu...,,,A1,Japan
30386,DC-9-32,YV-67C,AVENSA,23,Barquisimeto...,,,A1,Venezuela
30389,Boeing 707-338C,5A-DJO,Jamahiriya Air Transport,5,near Sebha,,,A1,Libya
30392,BN-2A-3 Islander,EP-PAC,Pars Air,,,,,A1,Unknown country
30393,Douglas C-47E,FAP-356,Peruvian AF,5,Arequipa Air...,,,A1,Peru
30393,BN-2A-21 Defender,7Q-YAX,Malawi Police Force,,Chikala Hills,,,A1,Malawi
30399,Antonov An-2V,CCCP-29367,"Aeroflot, Krasnoyarsk",0,"near Vanavara, Kr...",,,A1,Russia
30402,Boeing 737-2B1,C9-BAB,LAM,0,near Quelimane Ai...,,,A1,Mozambique
30404,Let L-410M,CCCP-67190,"Aeroflot, Georgia",6,Poti Airport,,,A1,Georgia
30405,DHC-6 Twin Otter 300,5A-DCP,Libyan Ministry of Agriculture,0,Benghazi-Ben...,,,A1,Libya
30405,Learjet 25,N51CA,"Chatham Corp., op.for Hughes Charter Air",2,Newark Inter...,,,A1,USA
30407,DHC-6 Twin Otter 200,N922MA,Metroflight,0,Lawton Munic...,,,O1,USA
30407,Cessna 500 Citation I,N700CW,Winn Exploration,4,near Eagle Pass-W...,,,A1,USA
30410,Beech 200 Super King Air,F-BVRP,Total,8,near Guangzhou Ba...,,,A1,China
30412,BN-2A-26 Islander,HP-945,Aviones de Panama,,,,,U1,Panama
30413,BN-2A-8 Islander,N37MN,Munz Northern Airlines,2,"Selawik, AK",,,A1,USA
30418,Antonov An-26,CCCP-26686,"Aeroflot, Belarus",0,Minsk-1 Inte...,,,A1,Belarus
30420,Learjet 24D,N302EJ,Executive Jet Aviation,0,Puerto Vallarta,,,A1,Mexico
30421,Boeing 727-2F2,TC-JBG,THY,0,Athens-Ellin...,,,H2,Greece
30422,BAe BAe-748-329 Srs. 2A LFD,EL-AIH,Air Liberia,8+ 9,near Khartoum-Civ...,,,A1,Sudan
30424,Fairchild C-119 Flying Boxcar,3182,Republic of China AF,,unknown,,,U1,Unknown country
30425,Yakovlev Yak-40,CCCP-87291,"Aeroflot, Armenia",21,near Leninakan Ai...,,,A1,Armenia
30425,Kawasaki C-1,68-1015,JASDF,6,near Toba,,,A1,Japan
30425,Kawasaki C-1,58-1009,JASDF,8,near Toba,,,A1,Japan
30426,DHC-6 Twin Otter 310,G-STUD,Air Ecosse,0,Flotta Airpo...,,,A1,U.K.
30432,Cessna 500 Citation I,N22FM,Federal Mogul Corp.,0,Wichita-Mid-...,,,A1,USA
30432,BN-2A-9 Islander,HK-2687X,Aviones Ejecutivos,0,near Barranca de ...,,,A1,Colombia
30432,Shin Meiwa PS-1,5801,Japanese Navy,11,Iwakuni MCAS,,,A1,Japan
30435,SE-210 Caravelle VI-R,HC-BAT,SAN,8,near Guayaquil-Si...,,,A1,Ecuador
30435,BN-2A-21 Islander,PK-OBE,Airfast Indonesia,0,Landikma,,,A1,Indonesia
30435,Antonov An-2T,CCCP-33093,"Aeroflot, Armenia",0,Tsaghkahovit,,,A1,Armenia
30436,Convair C-131F (CV-340),141010,US Navy,14,Jacksonville...,,,A1,USA
30436,Antonov An-2R,CCCP-62643,"Aeroflot, Latvia",0,near Cesis,,,A1,Latvia
??-APR-1983,Hawker Siddeley HS-125-1A-522,C-FHLL,Gouvernement du Québec,,Montreal-St....,,,A1,Canada
30437,DC-8-63CF,,Capitol Airways,0,Havana-José ...,,,H2,Cuba
30440,Douglas C-47B (DC-3),FAC-1126,SATENA,0,Cali-Palmase...,,,A1,Colombia
30440,Antonov An-2R,CCCP-35637,"Aeroflot, Lithuania",0,Kaunas,,,A1,Lithuania
30441,Hawker Siddeley HS-121 Trident 2E,B-296,CAAC,0,Chunchon Air...,,,H2,South Korea
30441,Fairchild C-123K Provider,L4K-12/18,Thai AF,30,near Nakhon Sawan...,,,A1,Thailand
30441,Lockheed L-1011 TriStar 1,N334EA,Eastern Air Lines,0,Miami Intern...,,,A2,USA
30442,Antonov An-26,1,Soviet AF,33,near Klyuchi Air ...,,,A1,Russia
30444,Fairchild C-119F Flying Boxcar,N13626,Supra Int.,0,River Kagoak...,,,A1,USA
30445,Antonov An-2TP,CCCP-02515,"Aeroflot, Tajikistan",0,near Tavil-Dara,,,A1,Tajikistan
30447,Convair CV-880,N880SR,Groth Air,,Mexico City-...,,,O1,Mexico
30447,Antonov An-2R,CCCP-70057,"Aeroflot, Kazakstan",0,near Blagodarnoye...,,,A1,Russia
30448,DC-8-63CF,,Capitol Airways,0,Havana-José ...,,,H2,Cuba
30450,DHC-6 Twin Otter 100,C-FVTL,Simpson Air,0,Calgary Inte...,,,O1,Canada
30450,UC-1A Otter (DHC-3),-,private,0,Calgary Inte...,,,O1,Canada
30451,Antonov An-2R,CCCP-02877,"Aeroflot, West Siberia",0,"Kubitet, Tya...",,,A1,Russia
30453,Lockheed P-3B Orion,152733,US Navy,0,Barbers Poin...,,,A1,USA
30454,Learjet 25B,D-CDPD,Air Traffic Executive Jet,3,near Scotland,,,A1,Atlantic Ocean
30454,BN-2 Islander,D-IOLT,FLN,,Schleswig Ai...,,,U1,Germany
30455,Boeing 727,,Eastern Air Lines,0,Havana-José ...,,,H2,Cuba
30456,Shorts 330-100,N935MA,Metro Airlines,0,Beaumont Mun...,,,O1,USA
30461,Antonov An-2R,CCCP-62626,"Aeroflot, North Kavkaz",0,"near Shiryaiski, ...",,,A1,Russia
30465,Antonov An-26,T-202,Angolan AF,0,Cangamba Air...,,,A1,Angola
30468,Boeing 720-023B,OD-AFO,MEA,0,Beirut Inter...,,,O1,Lebanon
30469,Fokker F-28 Fellowship 3000RC,PK-GFV,Garuda,3,Bandar Lampu...,,,A1,Indonesia
30469,DC-9-32,C-FTLU,Air Canada,23,Cincinnati/N...,,,A1,USA
30470,DC-10-30,PH-DTE,KLM,0,Panama City-...,,,A2,Panama
30473,Fairchild C-119G Flying Boxcar,3197,Republic of China AF,38,near Kinmen-Shang...,,,A1,Taiwan
30475,DHC-4A Caribou,M-933,Indian AF,3,"Siddipet, Bu...",,,A1,India
30475,Douglas VC-54Q (DC-4),CP-1404,Frigorifico Reyes,5,Trinidad Air...,,,A1,Bolivia
