date,type,registration,operator,fat.,location,,pic,cat,
18437,Douglas DC-4,N95425,Northwest Orient Airlines,58,near Benton Harbo...,,,A1,USA
18439,Douglas C-54D (DC-4),42-72648,USAF,0,Seoul (K-14)...,,,A1,South Korea
18440,Douglas DC-4-1009,VH-ANA,ANA,29,"near Guildford, WA",,,A1,Australia
18440,Consolidated KM-2 (PBN-1 Nomad),CCCP-N488,Polyarnaya Aviatsiya,2,Khimki Reser...,,,A1,Russia
18442,Fairchild C-119C Flying Boxcar,49-134,USAF,4,near Hendersonvil...,,,A1,USA
18443,Fairchild C-119B Flying Boxcar,48-338,USAF,0,"near Decatur, AL",,,A1,USA
18444,Douglas C-47 (DC-3),YV-C-ARG,RANSA,0,El Lorza,,,A1,Venezuela
18444,SNCASE SE.2010 Armagnac,F-WAVA,SNCASE,2+ 1,near Toulouse,,,A1,France
18444,Douglas C-54G (DC-4),45-518,USAF,23,near Busan,,,A1,South Korea
18447,Consolidated C-10A Catalina (PBY-5A,6518,Brazilian AF,2,"Guajará, PA",,,A1,Brazil
18453,Douglas C-47A (DC-3),F-BFGL,Aigle Azur,22,near Casablanca-C...,,,A1,Morocco
18454,Douglas C-47 (DC-3),,USAF,0,,,,C1,South Korea
18457,Douglas C-47B (DC-3),45-890,USAF,,Taejon Air Base,,,A1,South Korea
18461,Douglas C-47A (DC-3),VT-ATS,Indian National Airways,22,near Pathankot,,,A1,India
18462,Douglas C-47A (DC-3),CR-LBK,DTA,12,near Bocoio,,,A1,Angola
18463,Short Sunderland GR.5,PP164,RAF,0,Iwakuni NAS,,,O1,Japan
18463,Ilyushin Il-12P,CCCP-L1340,"Aeroflot, Georgia",4,near Tbilisi Airp...,,,A1,Georgia
18465,Fairchild C-82A Packet,45-57831,USAF,,Kenai Airpor...,,,A1,USA
18467,Curtiss C-46D,44-77577,USAF,39,near Myrtle Beach...,,,A1,USA
18467,CASA 352 (Ju-52),T.2-167,Spanish AF,,,,,U1,Unknown country
18468,Douglas C-47A (DC-3),LR-AAN,Air Liban,3,northern Isr...,,,C2,Israel
18471,Douglas C-47D,44-76439,USAF,25,near O-Shima,,,A1,Japan
18472,Lockheed L-049 Constellation,PP-PCG,Panair do Brasil,51,near Porto Alegre...,,,A1,Brazil
18473,Bristol 170 Freighter 21,F-BENF,CAT,26,Tanezrouft,,,A1,Algeria
18473,Douglas C-54D (DC-4),42-72700,USAF,6,"near Juneau, AK",,,A1,USA
18473,Douglas DC-3C,OK-WAB,CSA,1,near Koice,,,A1,Slovakia
18474,Curtiss C-46F,N67960,"Flying Tiger Line, lsf USAF",0,"Denver, CO",,,A1,USA
18474,SNCASE SE.161/P7 Languedoc,F-BCUI,Air France,0,Marseille-Ma...,,,A1,France
18474,Ilyushin Il-12,CCCP-L1803,"Aeroflot, Kazakstan",25,near Karaganda Ai...,,,A1,Kazakhstan
18474,Lockheed 18 Lodestar,PP-SAA,SAVAG - Viação Aérea Gaucha,12,near São Francisc...,,,A1,Brazil
18475,Handley Page Hastings C.1,TG583,RAF,0,Dishforth RA...,,,A1,U.K.
18475,Fairchild C-82A Packet,44-23021,USAF,0,"near Tallahassee, FL",,,A1,USA
18478,Douglas C-47D,43-49278,USAF,0,"near Decatur, IL ...",,,A1,USA
18479,Curtiss R5C-1 (C-46),39566,USMC,0,near Oklahoma Cit...,,,A1,USA
18480,Douglas C-47A (DC-3),OK-WDV,CSA,0,Koice Airpo...,,,A1,Slovakia
18486,unknown,,CSA,0,near Aichach,,,H2,Germany
18486,Ilyushin Il-12P,CCCP-L1706,"Aeroflot, Moscow",2,near Sverdlovsk-K...,,,A1,Russia
18488,Lisunov Li-2,CCCP-H955,Dalstroi Aviation,5,near Seimchan,,,A1,Russia
18491,Lockheed P2V-3 Neptune,122940,US Navy,0,near Paeng Nylong-do,,,C1,North Korea
18497,Douglas DC-6,N90705,American Airlines,1,"near Eagle, CO",,,A2,USA
18498,Douglas C-47 (DC-3),FAC-670,Colombian AF,0,"near Cravo Norte,...",,,A1,Colombia
18499,Douglas C-47B (DC-3),45-1126,USAF,,Chinhae Air ...,,,A1,South Korea
18500,Douglas Dakota IV (DC-3),KN630,RAF,12,near Kampong Jenera,,,A1,Malaysia
18501,Consolidated PBY-5A Catalina,48411,US Navy,,Quonset Poin...,,,A1,USA
18504,Douglas C-47 (DC-3),HK-116,Avianca,0,Barranquilla,,,A1,Colombia
18505,Douglas Dakota IV (DC-3),KN240,RAF,9,near Jemaja Islan...,,,A1,Pacific Ocean
18506,Lockheed L-749A Constellation,N6004C,TWA,55,near Wadi Natrun,,,A1,Egypt
18507,Fairchild C-119C Flying Boxcar,49-163,USAF,7,"near Parsons, TN",,,A1,USA
18510,Douglas DC-3-229,N18936,Robinson Airlines,16,"near Utica, NY",,,A1,USA
18510,Martin 2-0-2,N93051,Northwest Orient Airlines,0,Billings Mun...,,,A2,USA
18512,Douglas C-54D (DC-4),42-72583,USAF,11,near Osaka-Itami ...,,,A1,Japan
18514,Curtiss C-46A,PP-LDB,T.A. Bandeirantes,0,Guanabara Ba...,,,A1,Brazil
18516,Douglas R5D-3 (DC-4),87755,US Navy,0,near Midway Island,,,A1,U.S. M.O. Islands
18517,Lockheed 18 Lodestar,N13Y,Private,3,"Rocky Peak, CA",,,A1,USA
18518,Douglas C-47 (DC-3),F-OACA,CATI,,Son-La-Na-Sa...,,,A1,Vietnam
18518,Douglas C-47A (DC-3),43-15299,USAF,5,near Anchorage-El...,,,A1,USA
18519,Fairchild C-119B Flying Boxcar,48-353,USAF,,Ashiya Air Base,,,A1,Japan
18520,Douglas C-54B (DC-4),TF-RVC,Loftleidir,0,Vatnajökull ...,,,A1,Iceland
18520,Douglas C-47A (DC-3),EP-AAG,Iranian Airways,9,near Tehran-Mehra...,,,A1,Iran
18520,Fairchild C-119C Flying Boxcar,49-145,USAF,,Ashiya Air Base,,,A1,Japan
18523,Short Sunderland GR.5,NJ268,RAF,0,Wig Bay,,,O1,U.K.
