date,Month,Year,type,registration,operator,Fatalities,location,cat,Country,Manufacturer,Military / Commercial
7/15/1974,7,1974,DC-8,,JAL,0,Nagoya,H2,Japan,Douglas Aircraft Company,C
7/19/1974,7,1974,Antonov An-12,,Egyptian AF,5,Cairo,A1,Egypt,Antonov ,M
7/20/1974,7,1974,Dornier Do 28D-1 Skyservant,100..,Turkish Army,0,near Nicosia,C1,Cyprus,Dornier ,M
7/22/1974,7,1974,Hawker Siddeley HS-121 Trident 1E,5B-DAE,Cyprus Airways,0,Nicosia Airp...,C1,Cyprus,Hawker ,C
7/22/1974,7,1974,Hawker Siddeley HS-121 Trident 2E,5B-DAB,Cyprus Airways,0,Nicosia Airp...,C1,Cyprus,Hawker ,C
7/22/1974,7,1974,Nord 2501D Noratlas,52-133,Hellenic AF,31,near Nicosia Airp...,C1,Cyprus,Nord ,M
7/22/1974,7,1974,Nord 2501D Noratlas,52-139,Hellenic AF,2,Nicosia Airp...,C1,Cyprus,Nord ,M
7/22/1974,7,1974,Nord 2501D Noratlas,52-143,Hellenic AF,0,Nicosia Airp...,A1,Cyprus,Nord ,M
7/22/1974,7,1974,Nord 2501D Noratlas,53-207,Hellenic AF,0,Nicosia Airp...,C1,Cyprus,Nord ,M
7/23/1974,7,1974,Antonov An-2TD,SP-ANG,APRL,0,,A1,Poland,Antonov ,C
7/24/1974,7,1974,Fokker F-27 Friendship 500,F-BPUI,Air France,3,near Héric,A2,France,Fokker ,C
7/24/1974,7,1974,Douglas DC-4,HK-728,Aeronorte,3,El Libano,A1,Colombia,Douglas ,C
7/24/1974,7,1974,Boeing 727-24C,HK-1271,Avianca,1,Cali Airport...,H2,Colombia,Boeing ,C
7/27/1974,7,1974,Fairchild C-123K Provider,ST-4,Air America,5,near Moc Hoa,C1,Vietnam,Fairchild ,C
7/27/1974,7,1974,Antonov An-2TP,CCCP-35029,"Aeroflot, Sasovo FS",3,"Pitelino, Rj...",A1,Russia,Antonov ,C
8/2/1974,8,1974,Douglas DC-6B Tanker,CF-PWA,Conair Aviation,3,"near Kamloops, BC",A1,Canada,Douglas ,C
8/5/1974,8,1974,Douglas C-47A (DC-3),C-FTAT,Laurentian Air Services,5,"near Bagotville, QC",A1,Canada,Douglas ,C
8/5/1974,8,1974,Douglas C-47B (DC-3),ET-ABE,Ethiopian Airlines,0,Mota Airport...,A1,Ethiopia,Douglas ,C
8/6/1974,8,1974,Tupolev Tu-154,CCCP-85020,"Aeroflot, International",0,Moskva-Vnuko...,A1,Ukraine,Tupolev ,C
8/6/1974,8,1974,Fokker F-27 Friendship 500,F-BPNF,Air Inter,0,Quimper Airp...,C1,France,Fokker ,C
8/7/1974,8,1974,Martin 4-0-4,HK-1485,Aero Proveedora Proa,2,near Mariquita Ai...,A1,Colombia,Martin ,C
8/9/1974,8,1974,CC-115 Buffalo (DHC-5),115461,"UN, opb RCAF",9,near Dimas,C1,Syria,De Havilland Canada,M
8/11/1974,8,1974,Ilyushin Il-18V,TZ-ABE,Air Mali,47,Linoghin,A1,Burkina Faso,Ilyushin ,C
8/12/1974,8,1974,Douglas C-47 (DC-3),HK-508,Avianca,27,near Cali,A1,Colombia,Douglas ,C
8/14/1974,8,1974,Vickers 749 Viscount,YV-C-AMX,LAV,48,near Porlamar Air...,A1,Venezuela,Vickers ,C
8/18/1974,8,1974,Lockheed C-130H Hercules,9T-TCD,Zaire AF,31,near Kisangani,A1,D.R. Congo,Lockheed ,M
8/18/1974,8,1974,Lockheed C-141A-LM Starlifter,65-0274,USAF,7,near La Paz-El Al...,A1,Bolivia,Lockheed ,M
8/24/1974,8,1974,BN-2A-3 Islander,ZS-IZZ,Emric Air,0,Richards Bay,A1,South Africa,Britten-Norman,C
8/26/1974,8,1974,Curtiss C-46F,N9760Z,Tri-9 Corp.,0,Phnom Penh A...,O1,Cambodia,Curtiss ,C
8/26/1974,8,1974,Boeing 707,,TWA,0,Roma-Fiumici...,C2,Italy,Boeing ,C
8/28/1974,8,1974,Antonov An-2V,CCCP-04302,"Aeroflot, Yakutsk",0,Andryushkino,A2,Russia,Antonov ,C
8/29/1974,8,1974,DHC-4A Caribou,N90569,Masin Aircraft Co.,0,near Valence-Chab...,A1,France,De Havilland Canada,M
8/30/1974,8,1974,Lockheed L-100 Hercules,N100AK,Alaska Int. Air,0,Galbraith La...,O1,USA,Lockheed ,C
8/30/1974,8,1974,Antonov An-2R,SP-WLT,ZUA,0,Redlo,A1,Poland,Antonov ,C
8/31/1974,8,1974,Learjet 25B,N366AA,Colorado Flying Academy,4,"near Briggsdale, CO",A1,USA,Learjet ,C
9/1/1974,9,1974,Martin 4-0-4,N40427,GSD Aircraft Leasing,0,Norfolk Regi...,O1,USA,Martin ,M
9/4/1974,9,1974,DC-9,,Eastern Air Lines,0,Boston-Logan...,H2,USA,Douglas Aircraft Company,C
9/6/1974,9,1974,Nord 2501 Noratlas,143,French AF,4,near Petreto-Bicc...,A1,France,Nord ,M
9/7/1974,9,1974,Fokker F-27 Friendship 600,PK-GFJ,Garuda,33,Bandar Lampu...,A1,Indonesia,Fokker ,C
9/7/1974,9,1974,Douglas C-47A (DC-3),BJ920,Indian AF,0,,U1,India,Douglas ,M
9/8/1974,9,1974,Boeing 707-331B,N8734,TWA,88,"near Cephalonia, ...",C1,Mediterranean Sea,Boeing ,C
9/8/1974,9,1974,Curtiss C-46D,TI-1010C,TAISA,4,near Port-au-Prince,A1,Haiti,Curtiss ,C
9/9/1974,9,1974,DHC-6 Twin Otter 100,941,Chilean AF,5,near Puerto Montt...,A1,Chile,De Havilland Canada,M
9/11/1974,9,1974,Boeing 727-41,PP-VLH,Varig,0,Recife Inter...,A2,Brazil,Boeing ,C
9/11/1974,9,1974,DC-9-31,N8984E,Eastern Air Lines,72,near Charlotte-Do...,A1,USA,Douglas Aircraft Company,C
9/13/1974,9,1974,Boeing 720-025,OY-DSR,Conair,0,Kobenhavn-Ka...,A1,Denmark,Boeing ,C
9/15/1974,9,1974,Boeing 727-121C,XV-NJC,Air Vietnam,75,near Phan Rang Ai...,H1,Vietnam,Boeing ,C
9/17/1974,9,1974,Shorts SC.7 Skyvan 3M-400,909,Oman AF,0,Tawi Atair,U1,Oman,Short ,M
9/18/1974,9,1974,C-115 Buffalo (DHC-5),2366,Brazilian AF,20,near Ponta Porã I...,A1,Brazil,De Havilland Canada,M
9/19/1974,9,1974,Grumman SA-16B Albatross (HU-16),AN.1A-1,Spanish AF,3,near Cabo de Palos,A1,Spain,Grumman ,M
9/20/1974,9,1974,Douglas C-47 (DC-3),,Nicaraguan AF,7,Lago Xolotlán,A1,Nicaragua,Douglas ,M
9/27/1974,9,1974,Lockheed C-5A Galaxy,68-0227,USAF,0,Clinton Muni...,A1,USA,Lockheed ,M
9/30/1974,9,1974,Fokker F-27 Friendship 400M,5-211,Iran AF,0,Saharood,A1,Iran,Fokker ,M
9/30/1974,9,1974,Lockheed C-130E Hercules,63-7802,USAF,0,Okinawa-Kade...,A1,Japan,Lockheed ,M
9/30/1974,9,1974,Grumman G-73 Mallard,N2965,U.S. Dept of Interior,4,near Alaska,A1,Pacific Ocean,Grumman ,C
10/1/1974,10,1974,Douglas C-124C Globemaster II,51-075,USAF,0,Anchorage-El...,O1,USA,Douglas ,M
10/1/1974,10,1974,Volpar Turboliner,N357V,Winship Air Services,6,Lupine Airst...,A1,USA,Volpar ,C
10/2/1974,10,1974,BN-2A Islander,N864JA,North Cay Airways,2,near Saint Thomas,A1,U.S. Virgin Isl.,Britten-Norman,C
10/4/1974,10,1974,Douglas DC-6B,OO-VGB,DAT,0,Southend Mun...,A1,U.K.,Douglas ,C
10/5/1974,10,1974,Douglas DC-3,,Unknown,6,,A1,Guatemala,Douglas ,C
10/7/1974,10,1974,Vickers Viscount,,FEAT,0,,H2,Unknown country,Vickers ,C
10/8/1974,10,1974,Douglas DC-3,XW-PKX,Khmer Airlines,0,Krakor Airpo...,A1,Cambodia,Douglas ,C
10/9/1974,10,1974,Douglas Tp 79 (C-47-DL),79005,Swedish AF,0,Nyköping Air...,A1,Sweden,Douglas ,M
10/11/1974,10,1974,FMA IA 50 Guaraní II,T-113,Argentine AF,0,"Cutral Có, NE",A1,Argentina,FMA ,M
10/11/1974,10,1974,Fairchild C-123K Provider,690,Khmer Air Force,2,Svay Rieng p...,C1,Cambodia,Fairchild ,M
10/13/1974,10,1974,Lockheed WC-130H Hercules,65-0965,USAF,6,near Clark Air Ba...,A1,Pacific Ocean,Lockheed ,M
10/15/1974,10,1974,Curtiss C-46D,XW-PBW,Royal Air Lao,5,near Vientiane,A1,Laos,Curtiss ,C
